source,target,weight
BuzzFeed_Fake_24,BuzzFeed_Fake_89,28
BuzzFeed_Fake_49,BuzzFeed_Fake_80,98
BuzzFeed_Fake_49,BuzzFeed_Fake_89,111
BuzzFeed_Fake_80,BuzzFeed_Fake_89,51
BuzzFeed_Fake_45,BuzzFeed_Fake_49,18
BuzzFeed_Fake_45,BuzzFeed_Fake_57,6
BuzzFeed_Fake_45,BuzzFeed_Fake_80,12
BuzzFeed_Fake_45,BuzzFeed_Fake_89,10
BuzzFeed_Fake_49,BuzzFeed_Fake_57,20
BuzzFeed_Fake_57,BuzzFeed_Fake_80,14
BuzzFeed_Fake_57,BuzzFeed_Fake_89,28
BuzzFeed_Real_7,BuzzFeed_Real_46,6
BuzzFeed_Real_7,BuzzFeed_Real_89,6
BuzzFeed_Real_7,BuzzFeed_Real_91,4
BuzzFeed_Real_46,BuzzFeed_Real_89,8
BuzzFeed_Real_46,BuzzFeed_Real_91,15
BuzzFeed_Real_89,BuzzFeed_Real_91,24
BuzzFeed_Real_32,BuzzFeed_Fake_69,6
BuzzFeed_Fake_2,BuzzFeed_Fake_77,32
BuzzFeed_Real_23,BuzzFeed_Real_45,136
BuzzFeed_Real_23,BuzzFeed_Real_64,145
BuzzFeed_Real_45,BuzzFeed_Real_64,225
BuzzFeed_Fake_71,BuzzFeed_Fake_77,19
BuzzFeed_Real_42,BuzzFeed_Real_60,2
BuzzFeed_Real_42,BuzzFeed_Real_72,46
BuzzFeed_Real_42,BuzzFeed_Real_87,42
BuzzFeed_Real_42,BuzzFeed_Fake_23,1
BuzzFeed_Real_42,BuzzFeed_Fake_44,4
BuzzFeed_Real_42,BuzzFeed_Fake_55,3
BuzzFeed_Real_42,BuzzFeed_Fake_60,4
BuzzFeed_Real_60,BuzzFeed_Real_72,1
BuzzFeed_Real_60,BuzzFeed_Real_87,2
BuzzFeed_Real_60,BuzzFeed_Fake_23,2
BuzzFeed_Real_60,BuzzFeed_Fake_44,6
