source,target,weight
BuzzFeed_Fake_24,BuzzFeed_Fake_72,4
BuzzFeed_Fake_24,BuzzFeed_Fake_78,21
BuzzFeed_Fake_24,BuzzFeed_Fake_84,1
BuzzFeed_Fake_24,BuzzFeed_Fake_50,6
BuzzFeed_Fake_89,BuzzFeed_Fake_4,35
BuzzFeed_Fake_89,BuzzFeed_Fake_51,22
BuzzFeed_Fake_89,BuzzFeed_Fake_36,6
BuzzFeed_Fake_89,BuzzFeed_Fake_56,7
BuzzFeed_Fake_89,BuzzFeed_Fake_11,5
BuzzFeed_Fake_89,BuzzFeed_Fake_53,10
BuzzFeed_Fake_89,BuzzFeed_Real_1,1
BuzzFeed_Fake_89,BuzzFeed_Fake_81,1
BuzzFeed_Fake_89,BuzzFeed_Real_28,3
BuzzFeed_Fake_89,BuzzFeed_Real_81,1
BuzzFeed_Fake_89,BuzzFeed_Real_35,1
BuzzFeed_Fake_89,BuzzFeed_Real_4,1
BuzzFeed_Fake_49,BuzzFeed_Fake_10,5
BuzzFeed_Fake_49,BuzzFeed_Real_91,5
BuzzFeed_Fake_49,BuzzFeed_Real_41,1
BuzzFeed_Fake_49,BuzzFeed_Real_45,1
BuzzFeed_Fake_49,BuzzFeed_Fake_25,3
BuzzFeed_Fake_49,BuzzFeed_Real_8,3
BuzzFeed_Fake_49,BuzzFeed_Fake_13,5
BuzzFeed_Fake_49,BuzzFeed_Fake_85,1
BuzzFeed_Fake_49,BuzzFeed_Real_24,1
BuzzFeed_Fake_80,BuzzFeed_Real_8,2
BuzzFeed_Fake_80,BuzzFeed_Real_25,1
BuzzFeed_Fake_80,BuzzFeed_Real_72,3
BuzzFeed_Fake_80,BuzzFeed_Fake_16,5
BuzzFeed_Fake_80,BuzzFeed_Fake_20,3
BuzzFeed_Fake_80,BuzzFeed_Fake_71,5
BuzzFeed_Fake_80,BuzzFeed_Fake_32,1
BuzzFeed_Fake_80,BuzzFeed_Fake_8,2
BuzzFeed_Fake_45,BuzzFeed_Fake_31,9
BuzzFeed_Fake_45,BuzzFeed_Fake_72,3
BuzzFeed_Fake_45,BuzzFeed_Fake_47,8
BuzzFeed_Fake_45,BuzzFeed_Fake_46,1
BuzzFeed_Fake_45,BuzzFeed_Real_58,3
BuzzFeed_Fake_57,BuzzFeed_Fake_72,3
BuzzFeed_Fake_57,BuzzFeed_Real_37,1
BuzzFeed_Fake_57,BuzzFeed_Real_43,4
BuzzFeed_Fake_57,BuzzFeed_Real_77,1
BuzzFeed_Real_7,BuzzFeed_Real_73,38
BuzzFeed_Real_7,BuzzFeed_Real_13,3
BuzzFeed_Real_7,BuzzFeed_Real_62,2
BuzzFeed_Real_7,BuzzFeed_Real_18,1
BuzzFeed_Real_7,BuzzFeed_Real_83,1
BuzzFeed_Real_46,BuzzFeed_Real_72,28
BuzzFeed_Real_46,BuzzFeed_Real_9,1
BuzzFeed_Real_46,BuzzFeed_Real_16,2
BuzzFeed_Real_46,BuzzFeed_Real_55,12
BuzzFeed_Real_46,BuzzFeed_Real_70,10
BuzzFeed_Real_46,BuzzFeed_Fake_7,1
BuzzFeed_Real_46,BuzzFeed_Fake_60,1
BuzzFeed_Real_46,BuzzFeed_Real_51,1
BuzzFeed_Real_89,BuzzFeed_Real_30,15
BuzzFeed_Real_89,BuzzFeed_Fake_84,2
BuzzFeed_Real_89,BuzzFeed_Real_32,27
BuzzFeed_Real_89,BuzzFeed_Real_29,6
BuzzFeed_Real_89,BuzzFeed_Real_49,10
BuzzFeed_Real_89,BuzzFeed_Fake_35,4
BuzzFeed_Real_89,BuzzFeed_Fake_78,1
BuzzFeed_Real_89,BuzzFeed_Real_45,4
BuzzFeed_Real_89,BuzzFeed_Fake_9,3
BuzzFeed_Real_89,BuzzFeed_Real_52,3
BuzzFeed_Real_89,BuzzFeed_Real_13,3
BuzzFeed_Real_89,BuzzFeed_Real_62,3
BuzzFeed_Real_89,BuzzFeed_Real_58,1
BuzzFeed_Real_89,BuzzFeed_Real_85,3
BuzzFeed_Real_89,BuzzFeed_Fake_41,1
BuzzFeed_Real_89,BuzzFeed_Real_51,1
BuzzFeed_Real_91,BuzzFeed_Real_71,3
BuzzFeed_Real_91,BuzzFeed_Real_55,12
BuzzFeed_Real_91,BuzzFeed_Fake_78,1
BuzzFeed_Real_91,BuzzFeed_Fake_35,2
BuzzFeed_Real_91,BuzzFeed_Real_56,2
BuzzFeed_Real_32,BuzzFeed_Real_3,2
BuzzFeed_Real_32,BuzzFeed_Real_5,3
BuzzFeed_Real_32,BuzzFeed_Real_86,2
BuzzFeed_Real_32,BuzzFeed_Real_10,8
BuzzFeed_Real_32,BuzzFeed_Fake_16,3
BuzzFeed_Real_32,BuzzFeed_Fake_74,1
BuzzFeed_Real_32,BuzzFeed_Fake_88,1
BuzzFeed_Real_32,BuzzFeed_Real_28,1
BuzzFeed_Real_32,BuzzFeed_Real_51,1
