source,target,weight
BuzzFeed_Fake_89,BuzzFeed_Fake_21,18
BuzzFeed_Fake_14,BuzzFeed_Fake_27,1
BuzzFeed_Fake_4,BuzzFeed_Fake_31,25
BuzzFeed_Fake_4,BuzzFeed_Real_88,1
BuzzFeed_Fake_22,BuzzFeed_Fake_71,5
BuzzFeed_Fake_72,BuzzFeed_Fake_13,1
BuzzFeed_Fake_90,BuzzFeed_Fake_56,4
BuzzFeed_Fake_36,BuzzFeed_Real_49,1
BuzzFeed_Real_84,BuzzFeed_Real_10,3
BuzzFeed_Real_84,BuzzFeed_Real_6,8
BuzzFeed_Real_50,BuzzFeed_Real_65,1
BuzzFeed_Real_66,BuzzFeed_Real_19,3
BuzzFeed_Real_20,BuzzFeed_Real_57,2
BuzzFeed_Real_29,BuzzFeed_Real_81,9
BuzzFeed_Fake_86,BuzzFeed_Fake_74,5
BuzzFeed_Real_68,BuzzFeed_Real_71,1
BuzzFeed_Real_42,BuzzFeed_Real_40,1
BuzzFeed_Real_24,BuzzFeed_Real_88,1
BuzzFeed_Real_31,BuzzFeed_Real_54,1
BuzzFeed_Real_80,BuzzFeed_Real_51,40
BuzzFeed_Real_80,BuzzFeed_Fake_1,1
BuzzFeed_Fake_76,BuzzFeed_Real_90,1
