source,target,weight
PolitiFact_Real_31,PolitiFact_Real_41,1
PolitiFact_Fake_42,PolitiFact_Fake_49,6
PolitiFact_Fake_42,PolitiFact_Fake_58,142
PolitiFact_Fake_49,PolitiFact_Fake_58,34
PolitiFact_Fake_8,PolitiFact_Fake_25,65
PolitiFact_Fake_8,PolitiFact_Fake_28,16
PolitiFact_Fake_8,PolitiFact_Fake_35,10
PolitiFact_Fake_8,PolitiFact_Fake_67,26
PolitiFact_Fake_25,PolitiFact_Fake_28,24
PolitiFact_Fake_25,PolitiFact_Fake_35,7
PolitiFact_Fake_25,PolitiFact_Fake_67,23
PolitiFact_Fake_28,PolitiFact_Fake_35,2
PolitiFact_Fake_28,PolitiFact_Fake_67,9
PolitiFact_Fake_35,PolitiFact_Fake_67,3
PolitiFact_Real_11,PolitiFact_Real_110,3
PolitiFact_Fake_24,PolitiFact_Fake_59,18
PolitiFact_Fake_8,PolitiFact_Fake_15,42
PolitiFact_Fake_8,PolitiFact_Fake_36,48
PolitiFact_Fake_8,PolitiFact_Fake_58,50
PolitiFact_Fake_8,PolitiFact_Fake_113,74
PolitiFact_Fake_15,PolitiFact_Fake_36,34
PolitiFact_Fake_15,PolitiFact_Fake_58,83
PolitiFact_Fake_15,PolitiFact_Fake_113,72
PolitiFact_Fake_36,PolitiFact_Fake_58,35
PolitiFact_Fake_36,PolitiFact_Fake_113,57
PolitiFact_Fake_58,PolitiFact_Fake_113,99
PolitiFact_Real_19,PolitiFact_Fake_15,2
PolitiFact_Real_19,PolitiFact_Fake_35,1
PolitiFact_Fake_15,PolitiFact_Fake_35,19
PolitiFact_Fake_8,PolitiFact_Fake_16,3
PolitiFact_Fake_8,PolitiFact_Fake_46,42
PolitiFact_Fake_15,PolitiFact_Fake_46,19
PolitiFact_Fake_8,PolitiFact_Fake_9,10
PolitiFact_Fake_8,PolitiFact_Fake_39,2
PolitiFact_Fake_8,PolitiFact_Fake_40,14
PolitiFact_Fake_9,PolitiFact_Fake_39,3
PolitiFact_Fake_9,PolitiFact_Fake_40,6
PolitiFact_Fake_39,PolitiFact_Fake_40,4
PolitiFact_Fake_47,PolitiFact_Fake_58,13
PolitiFact_Fake_33,PolitiFact_Fake_58,14
PolitiFact_Real_37,PolitiFact_Real_48,4
PolitiFact_Real_37,PolitiFact_Real_113,5
PolitiFact_Real_48,PolitiFact_Real_113,3
PolitiFact_Fake_45,PolitiFact_Fake_50,13
PolitiFact_Fake_45,PolitiFact_Fake_57,19
PolitiFact_Fake_50,PolitiFact_Fake_57,17
PolitiFact_Fake_31,PolitiFact_Fake_100,1
PolitiFact_Fake_31,PolitiFact_Fake_103,3
PolitiFact_Fake_100,PolitiFact_Fake_103,3
PolitiFact_Fake_15,PolitiFact_Fake_93,9
PolitiFact_Fake_15,PolitiFact_Fake_109,2
PolitiFact_Fake_93,PolitiFact_Fake_109,9
PolitiFact_Fake_54,PolitiFact_Fake_58,15
PolitiFact_Fake_44,PolitiFact_Fake_113,13
PolitiFact_Real_1,PolitiFact_Real_69,1
PolitiFact_Real_1,PolitiFact_Fake_97,1
PolitiFact_Real_69,PolitiFact_Fake_97,1
PolitiFact_Fake_8,PolitiFact_Fake_99,7
PolitiFact_Fake_15,PolitiFact_Fake_99,18
PolitiFact_Fake_36,PolitiFact_Fake_99,5
PolitiFact_Fake_58,PolitiFact_Fake_99,87
PolitiFact_Fake_36,PolitiFact_Fake_37,14
PolitiFact_Real_36,PolitiFact_Real_48,49
PolitiFact_Real_36,PolitiFact_Real_51,39
PolitiFact_Real_36,PolitiFact_Real_67,24
PolitiFact_Real_36,PolitiFact_Real_88,38
PolitiFact_Real_36,PolitiFact_Real_98,46
PolitiFact_Real_48,PolitiFact_Real_51,37
PolitiFact_Real_48,PolitiFact_Real_67,27
PolitiFact_Real_48,PolitiFact_Real_88,38
PolitiFact_Real_48,PolitiFact_Real_98,44
PolitiFact_Real_51,PolitiFact_Real_67,22
PolitiFact_Real_51,PolitiFact_Real_88,28
PolitiFact_Real_51,PolitiFact_Real_98,36
PolitiFact_Real_67,PolitiFact_Real_88,19
PolitiFact_Real_67,PolitiFact_Real_98,24
PolitiFact_Real_88,PolitiFact_Real_98,38
PolitiFact_Real_65,PolitiFact_Real_89,83
PolitiFact_Real_70,PolitiFact_Fake_4,2
PolitiFact_Fake_34,PolitiFact_Fake_42,15
PolitiFact_Fake_15,PolitiFact_Fake_25,34
PolitiFact_Fake_54,PolitiFact_Fake_97,4
PolitiFact_Fake_18,PolitiFact_Fake_60,3
PolitiFact_Real_101,PolitiFact_Fake_107,1
PolitiFact_Real_103,PolitiFact_Fake_107,1
PolitiFact_Real_36,PolitiFact_Real_59,48
PolitiFact_Real_36,PolitiFact_Real_68,28
PolitiFact_Real_36,PolitiFact_Real_70,49
PolitiFact_Real_36,PolitiFact_Real_75,34
PolitiFact_Real_36,PolitiFact_Real_78,28
PolitiFact_Real_36,PolitiFact_Real_94,42
